Japanese,German,Gender
りんご,Apfel,r
パイナップル,Ananas,e
バナナ,Banane,e
ワンピース,Kleid,s
国,Land,s
王,König,r
女王,Königin,e
奴隷,Sklave,r
城,Schloss,s
城郭,Burg,e
街,Stadt,e
夕方,Abend,r
車,Auto,s
銀行,Bank,e
ビール,Bier,s
花,Blume,e
手紙,Brief,r
パン,Brot,s
兄弟,Bruder,r
本,Buch,s
バス,Bus,r
ドイツ,Deutschland,s
自転車,Fahrrad,e
家族,Familie,e
色,Farbe,e
映画,Film,r
指,Finger,r
飛行機,Flugzeug,s
女性,Frau,e
友達,Freund,r
朝食,Frühstück,s
誕生日,Geburtstag,r
金,Geld,s
プレゼント,Geschenk,s
手,Hand,e
家,Haus,s
ホテル,Hotel,s
犬,Hund,r
空腹,Hunger,r
年,Jahr,s
日本,Japan,s
男の子,Junge,r
コーヒー,Kaffee,r
猫,Katze,e
子供,Kind,s
国,Land,s
女の子,Mädchen,s
男性,Mann,r
月,Monat,r
朝,Morgen,r
音楽,Musik,e
母,Mutter,e
名前,Name,r
夜,Nacht,e
紙,Papier,s
問題,Problem,s
雨,Regen,r
雪,Schnee,r
学校,Schule,e
姉妹,Schwester,e
湖,See,r
息子,Sohn,r
太陽,Sonne,e
町,Stadt,e
道,Straße,e
学生,Student,r
時間,Stunde,e
言語,Sprache,e
日,Tag,r
鞄,Tasche,e
動物,Tier,s
娘,Tochter,e
ドア,Tür,e
時計,Uhr,e
大学,Universität,e
水,Wasser,s
週,Woche,e
言葉,Wort,s
父,Vater,r
数,Zahl,e
時間,Zeit,e
部屋,Zimmer,s
電車,Zug,r
ゴール,Ziel,s
流れ,Stromung,e
を別方向に向ける, umlenken,
一致した,konform,
構造,Aufbau,r
コーティング,Belag,r
補足,Ergänzung,e
改善する,verbessern,
もちろん・なるほど,allerdings,
~に...を伝える,mitteilen,
解像,Auflösung,e
しっかりとした,fest,
を採用する,einstellen,
取り替える,tauschen,
ミィーティング,Sitzung,e
つかむ,zugreifen,
同様に,ebenfalls,
中へ,herein,
外へ,hinaus,
を守る,sichern,
を要求する,fordern,
保護,Schutz,r
政府,Regierung,e
構成員,Mitglied,s
を呼ぶ,nennen,
法律,Gesetz,s
に違反する,verstosßen,
を設立する,grunden,
に達する,erreichen,
自身の,eigen,
を育てる,erziehen,
の世話をする,kümmer sich um,
団体,Verband,r
興味・利益,Interesse,s
デバイス,Gerät,s 
を識別する,erkennen,
が正しいと認める,bestätigen,
特定の,bestimmt,
性質,Eigenschaft,e
